price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,house_age,years_since_last_renovation
313000.0,3,1,1340,7912,1.5,0,0,3,1340,0,68,18
2384000.0,5,2,3650,9050,2.0,0,4,5,3370,280,102,102
342000.0,3,2,1930,11947,1.0,0,0,4,1930,0,57,57
420000.0,3,2,2000,8030,1.0,0,0,4,1000,1000,60,60
550000.0,4,2,1940,10500,1.0,0,0,4,1140,800,47,31
490000.0,2,1,880,6380,1.0,0,0,3,880,0,85,29
335000.0,2,2,1350,2560,1.0,0,0,3,1350,0,47,47
482000.0,4,2,2710,35868,2.0,0,0,3,2710,0,34,34
452500.0,3,2,2430,88426,1.0,0,0,4,1570,860,38,38
640000.0,4,2,1520,6200,1.5,0,0,3,1520,0,78,13
463000.0,3,1,1710,7320,1.0,0,0,3,1710,0,75,29
1400000.0,4,2,2920,4000,1.5,0,0,5,1910,1010,114,35
588500.0,3,1,2330,14892,1.0,0,0,3,1970,360,43,43
365000.0,3,1,1090,6435,1.0,0,0,4,1090,0,68,14
1200000.0,5,2,2910,9480,1.5,0,0,3,2910,0,84,54
242500.0,3,1,1200,9720,1.0,0,0,4,1200,0,58,58
419000.0,3,1,1570,6700,1.0,0,0,4,1570,0,67,67
367500.0,4,3,3110,7231,2.0,0,0,3,3110,0,26,26
257950.0,3,1,1370,5858,1.0,0,0,3,1370,0,36,23
275000.0,3,1,1180,10277,1.0,0,0,3,1180,0,40,14
750000.0,3,1,2240,10578,2.0,0,0,5,1550,690,100,100
435000.0,4,1,1450,8800,1.0,0,0,4,1450,0,69,44
626000.0,3,2,1750,1572,2.5,0,0,3,1470,280,18,18
612500.0,4,2,2730,12261,2.0,0,0,3,2730,0,32,32
495000.0,4,1,1600,6380,1.0,0,0,3,1130,470,64,34
285000.0,3,2,2090,10834,1.0,0,0,4,1360,730,36,36
615000.0,3,1,2360,7291,1.0,0,0,4,1360,1000,75,75
698000.0,4,2,2200,11250,1.5,0,0,5,1300,900,103,103
675000.0,5,2,2820,67518,2.0,0,0,3,2820,0,44,9
790000.0,3,2,2600,4750,1.0,0,0,4,1700,900,72,24
382500.0,4,1,1560,8700,1.0,0,0,4,1560,0,56,56
499950.0,4,2,2860,3345,2.0,0,0,3,2190,670,19,20
650000.0,4,2,1820,5000,1.5,0,1,3,1640,180,78,13
625000.0,4,2,2820,8408,2.0,0,0,3,2820,0,9,9
400000.0,4,2,3630,42884,1.5,0,0,3,2300,1330,44,9
604000.0,3,2,3240,33151,2.0,0,2,3,3240,0,28,28
440000.0,2,1,800,4850,1.0,0,0,4,800,0,79,79
287200.0,3,3,1850,19966,1.0,0,0,4,1090,760,31,31
403000.0,3,2,1960,13100,1.0,0,2,5,1650,310,66,66
750000.0,3,2,2390,6550,1.0,0,2,4,1440,950,68,14
335000.0,3,2,1580,16215,1.0,0,0,4,1580,0,45,23
260000.0,4,2,1480,8625,1.0,0,0,4,1480,0,49,49
308500.0,2,1,850,6174,1.0,0,0,4,850,0,73,40
439950.0,3,2,1770,2875,2.0,0,0,3,1770,0,33,14
235000.0,2,1,1210,9400,1.0,0,0,2,1210,0,74,74
315000.0,3,1,1160,9180,1.0,0,0,3,1160,0,55,26
437500.0,3,2,1970,35100,2.0,0,0,4,1970,0,46,46
407500.0,3,2,1930,10460,2.0,0,0,3,1930,0,27,27
445700.0,3,2,1270,1180,3.0,0,0,3,1270,0,22,22
838000.0,4,2,3310,42998,2.0,0,0,3,3310,0,22,22
630000.0,4,2,2710,37277,2.0,0,0,3,2710,0,23,23
550000.0,3,1,2910,35200,1.5,0,0,3,2910,0,44,9
805000.0,3,2,2710,4500,1.5,0,0,4,1880,830,94,94
284000.0,3,1,1800,23103,1.0,0,0,3,1800,0,55,26
470000.0,5,2,2210,9655,1.0,0,0,3,1460,750,47,47
430000.0,4,1,1920,10000,1.0,0,0,4,1070,850,69,44
491500.0,4,1,2190,125452,1.0,0,2,3,2190,0,55,26
785000.0,5,3,3660,11995,2.0,0,2,3,3660,0,17,17
385000.0,3,3,1320,1327,2.0,0,0,3,1040,280,15,15
295000.0,2,2,1630,1368,2.0,0,0,3,1280,350,14,14
555000.0,4,2,3310,6500,2.0,0,0,3,3310,0,11,111
459990.0,3,2,2680,5539,2.0,0,0,3,2680,0,10,100
625000.0,4,3,2730,54014,1.0,0,0,3,1560,1170,16,16
300000.0,3,2,2540,5050,2.0,0,0,3,2540,0,17,17
625000.0,4,2,2920,6605,2.0,0,0,3,2920,0,11,111
553000.0,2,1,900,5000,1.0,0,0,3,900,0,79,79
379880.0,3,2,1650,14054,1.0,0,0,4,1130,520,37,37
310000.0,3,1,1010,9945,1.0,0,0,4,1010,0,50,50
775000.0,2,2,2680,7392,1.0,0,0,3,2680,0,19,20
365000.0,3,2,2200,7350,1.0,0,0,5,1570,630,35,35
331950.0,4,2,2530,9933,2.0,0,2,3,2010,520,33,14
783500.0,3,2,2850,7130,2.0,0,0,3,1990,860,43,43
628000.0,4,2,2280,6010,1.0,0,0,3,1140,1140,123,18
560000.0,3,2,1900,8744,2.0,0,0,3,1900,0,36,23
900000.0,3,1,1330,77972,1.0,0,0,3,1330,0,95,69
531000.0,2,3,1270,1175,2.0,0,0,3,1110,160,23,23
831000.0,4,3,2170,4000,2.0,0,0,4,1610,560,41,12
780000.0,4,2,2730,10281,2.0,0,2,3,2730,0,27,27
755000.0,4,2,2120,10202,1.0,0,0,4,1620,500,63,22
705380.0,3,2,2490,4343,2.0,0,0,3,2490,0,20,20
627000.0,4,2,1990,7712,1.0,0,0,3,1210,780,50,10
865000.0,4,3,3690,9892,2.0,0,0,3,3690,0,25,17
580000.0,2,1,2540,7000,1.0,0,0,5,1320,1220,81,81
410000.0,3,2,1800,36704,1.0,0,0,4,1360,440,45,23
485000.0,4,3,2340,7048,1.0,0,0,4,1340,1000,44,44
400000.0,2,1,2110,9519,1.0,0,0,2,2110,0,75,75
549000.0,2,1,1140,5400,1.0,0,0,5,1140,0,115,115
620000.0,3,1,1480,2185,2.5,0,0,3,1480,0,18,18
405000.0,2,3,1410,1240,2.0,0,0,3,1140,270,17,17
232000.0,2,1,1200,8063,1.0,0,0,4,1200,0,65,51
800866.0,5,2,3180,13806,2.0,0,0,4,3180,0,33,33
650000.0,3,1,2160,9000,1.0,0,2,4,1400,760,74,38
823000.0,6,1,2920,5000,2.5,0,0,4,2780,140,115,115
770000.0,3,2,2350,5700,1.5,0,0,4,1810,540,84,34
524000.0,3,1,1560,5520,1.0,0,0,4,780,780,79,79
541125.0,5,2,2740,8426,1.0,0,0,4,1370,1370,63,22
670000.0,3,2,1680,2000,3.0,0,0,3,1680,0,114,25
384900.0,5,2,3090,12750,1.0,0,0,3,1750,1340,55,26
406100.0,3,2,1410,1332,3.0,0,0,3,1410,0,18,18
1395000.0,5,3,4010,8510,2.0,0,1,5,2850,1160,52,52
736500.0,4,2,3180,21904,2.0,0,3,3,3180,0,23,23
570000.0,3,2,2010,6000,1.0,0,0,3,1330,680,48,48
787000.0,3,1,1330,7500,1.0,0,0,3,1330,0,62,19
